Drug Name,CNN_CNN,Daylight_AAC,Morgan_AAC,Morgan_CNN,MPNN_CNN
US_452,56.08,485.73,614.53,116.84,1452.63
US_337,56.73,901.21,252.06,400.42,7205.6
625_5,56.84,917.37,575.57,3029.12,4035.73
646_101,57.12,603.91,331.12,148.99,1990.96
US_381,57.39,1009.82,266.73,941.53,8457.78
646_103,57.41,677.26,20446.23,1358.65,1372.49
US_278,57.49,1105.61,3232.97,12378.88,6156.88
paper_34,58.72,793.87,603.38,849.59,953.22
625_17,58.82,195.82,4952.24,26482.14,2935.88
646_92,59.4,845.42,384.68,76.53,2821.19
US_246,59.81,518.5,758.01,1430.71,59672.4
US_370,60.43,803.08,703.68,1326.52,726.42
US_356,60.56,236.95,810.92,5202.17,2334.06
paper_36,60.67,1001.04,822.41,2778.89,3936.1
US_339,61.57,339.24,166.17,418.45,2503.2
paper_27,61.79,618.1,262.51,836.94,1448.18
US_228,62.07,233.27,431.3,849.51,2775.57
US_342,62.1,881.97,210.14,217.7,5477.24
US_119,62.29,121.71,1808.45,2790.11,7882.27
US_310,62.41,1127.42,313.22,137.65,6158.01
US_259,62.83,703.89,366.26,1184.66,1135.29
US_398,64.17,209.66,324.84,289.22,2205.66
US_404,64.88,589.78,344.98,193.29,2347.76
US_343,65.0,1007.25,429.58,952.34,1286.29
646_20,65.06,208.01,993.71,1265.14,4669.13
US_74,65.13,89.61,1504.41,381.15,3182.12
US_251,69.24,457.05,742.46,2475.14,2594.33
paper_25,69.36,711.56,320.67,1242.94,956.06
US_456,69.66,1125.83,823.99,2332.01,11756.58
US_117,69.95,185.27,2483.8,6358.73,2289.75
31678_5,70.23,132.51,815.3,6791.36,402.49
US_431,70.71,1367.6,1296.72,5097.41,2153.57
paper_24,71.43,711.56,320.67,1242.94,2815.01
646_102,73.85,274.69,279.35,1342.62,12130.53
US_131,73.86,250.21,938.05,1928.53,5778.84
US_116,74.08,215.94,581.07,584.74,2079.48
US_332,74.34,945.62,665.18,4734.32,1442.65
646_105,77.04,788.59,75200.99,4164.99,111.42
paper_22,77.75,594.01,448.89,3581.12,102.94
625_30,78.1,981.28,330.77,352.34,1985.39
646_35,78.52,119.25,667.38,340.24,5507.62
US_307,79.21,889.56,864.19,733.11,887.93
646_51,79.26,240.96,56753.43,493.3,1805.89
US_185,79.3,801.76,1031.12,2921.43,3850.21
US_231,79.3,905.93,628.21,1183.89,4330.12
US_282,79.32,376.65,360.31,1164.68,13007.57
US_14,79.47,456.36,517.35,632.54,7324.62
paper_33,80.4,1105.61,1145.11,961.82,4412.48
646_106,80.92,997.22,109972.38,8645.27,3422.33
646_36,81.67,93.09,610.74,603.54,3410.08
US_462,82.17,623.05,356.48,1644.62,2129.38
646_104,82.65,340.3,635.23,784.9,2256.56
646_9,83.86,234.73,657.84,1615.89,0.0
646_17,84.18,1668.97,182.06,287.32,4338.04
US_137,88.11,158.58,7177.65,1296.88,4492.76
646_46,88.98,501.68,14732.64,2321.54,1622.33
646_19,89.3,458.71,2008.19,803.89,1611.04
US_147,90.04,85.65,4139.14,7789.6,10997.29
646_108,90.46,4998.59,1959.31,4654.29,1314.24
US_211,90.87,1148.82,559.57,1957.94,7865.74
US_157,90.99,602.41,2259.71,6058.54,14352.63
US_457,91.49,1017.11,721.97,1837.67,2870.87
US_188,92.16,633.62,42070.27,2811.48,3175.52
646_34,92.22,549.0,166399.98,11397.53,893.88
US_346,92.53,862.53,436.63,1144.47,1551.01
US_165,92.99,1470.24,636.81,520.21,2940.47
US_331,93.84,899.02,501.45,3230.18,2661.6
US_262,93.94,217.7,818.75,1426.67,4452.53
646_21,93.97,1268.14,287018.77,10489.98,2483.83
US_355,94.52,1819.69,709.99,1279.68,8448.61
US_28,95.7,161.83,57.35,62.52,5263.86
paper_28,96.22,602.75,493.13,1512.73,3158.34
31678_19,98.91,150.4,880.86,11954.34,1381.9
646_5,99.63,935.9,75740.76,12748.01,0.0
US_59,99.99,197.27,434.49,817.29,5786.11
paper_29,100.26,966.01,194.22,280.9,5269.98
US_298,100.51,1122.84,367.82,83.91,1184.71
646_80,101.27,890.37,813.76,5407.72,2210.84
646_6,101.28,268.15,5002.21,2560.57,3113.11
646_100,102.06,1972.14,184535.49,12683.96,4408.34
US_290,102.1,975.16,643.23,371.03,0.52
31678_54,102.1,124.58,14759.18,53840.51,2073.36
paper_32,102.56,1061.34,340.82,1228.86,1070.51
646_12,102.76,1309.35,315.0,4152.87,2716.67
paper_26,103.08,709.91,299.99,1440.36,1627.31
646_62,103.84,944.78,1816.17,2757.01,2416.76
US_303,103.91,594.01,569.6,419.33,2819.44
US_118,104.16,115.34,2736.7,2751.57,2443.58
US_350,104.46,746.45,654.81,2783.11,2176.24
646_14,105.45,377.75,646.27,1800.79,91.68
US_123,105.89,120.98,4960.95,10722.79,2681.44
US_318,106.7,3583.93,567.8,486.19,4398.48
US_247,106.76,937.66,434.85,2526.41,14741.39
US_67,107.07,156.65,1012.64,1150.34,3432.06
US_394,107.17,2042.81,251.52,353.91,2115.82
US_190,107.38,65.24,216.51,412.73,7122.16
US_266,107.69,482.15,323.78,2193.88,1835.95
646_41,109.31,253.76,443.55,557.74,4871.26
US_291,109.31,1090.35,1021.19,303.86,1765.55
paper_38,109.73,801.76,1031.12,2921.43,2149.24
646_85,110.33,814.35,2173.4,426.05,2125.63
paper_21,110.92,593.95,364.57,3191.53,5389.85
US_161,112.36,779.65,491.81,148.43,7493.12
US_459,112.59,117.48,652.96,9141.15,2590.87
US_45,112.77,602.75,493.13,1512.73,3296.55
US_467,113.08,485.73,614.53,116.84,2767.19
646_68,113.26,432.84,129047.96,13420.89,1846.0
646_10,113.93,484.67,395.21,1749.95,7252.7
US_11,114.09,316.5,90.28,241.33,7243.61
US_448,115.5,1945.41,249.41,335.16,4252.69
646_48,116.01,280.11,413.3,594.3,2740.51
US_29,117.24,288.27,473.45,287.1,2323.79
US_110,117.64,365.41,4755.33,5258.74,4357.81
US_451,117.88,485.73,614.53,116.84,0.17
US_26,118.68,111.65,484.81,3320.34,2319.0
646_115,119.85,1169.0,10615.71,3083.06,1459.67
US_88,120.65,425.65,2418.69,2901.73,9857.05
US_301,121.14,1859.01,312.68,140.87,43396.96
646_22,122.29,515.8,9432.37,6425.16,2077.1
US_112,122.61,179.47,1975.92,362.16,2648.11
US_96,123.51,181.05,526.38,2021.77,10258.2
US_39,123.79,207.98,370.28,334.28,6380.65
646_83,124.46,832.02,3789.29,3511.99,4267.83
646_29,125.86,1203.08,7988.33,2887.99,1526.48
US_283,125.94,622.54,325.3,215.43,1192.34
US_144,126.7,154.56,935.61,269.97,5217.66
US_464,126.74,637.97,584.09,1350.08,974.69
US_354,127.23,1576.93,1435.48,7270.21,4023.45
US_12,127.26,1018.47,152.65,136.57,4900.18
646_88,127.63,1012.11,573.72,110.13,4564.6
US_460,127.93,793.87,603.38,849.59,5592.71
US_313,128.38,738.97,236.19,217.28,1874.4
paper_37,129.11,562.73,684.29,2497.56,5304.33
646_49,131.12,532.06,50248.24,2771.71,1138.87
paper_15,131.53,416.18,294.37,1413.63,5857.71
paper_12,131.55,180.94,363.06,1212.2,4459.68
US_421,131.78,955.08,932.59,330.46,3363.55
646_111,132.04,1138.84,19122.23,22411.55,2832.47
US_249,132.49,1039.96,422.77,6115.39,4311.88
US_1,133.08,77.94,5215.31,11190.13,7496.78
646_119,134.76,372.45,980.37,1340.93,1753.49
US_296,135.43,302.95,1139.04,2005.43,1228.07
US_391,137.19,910.02,543.21,2904.49,1749.28
646_63,138.02,381.47,432.29,789.22,3776.37
paper_30,138.44,1009.26,203.04,624.56,748.46
US_324,138.63,2563.0,269.55,1020.55,696.53
US_240,138.69,1285.56,499.89,1149.64,2698.6
US_56,139.54,208.28,913.23,388.77,2173.18
US_311,139.6,308.47,418.4,224.91,2099.75
paper_5A,140.8,248.33,848.81,1103.87,2898.01
US_372,141.23,409.14,744.14,3272.87,1611.0
US_191,142.32,328.63,105.23,133.49,1968.62
US_300,143.18,1150.23,821.32,645.63,4561.95
US_309,143.18,1384.77,446.74,684.07,2491.25
US_330,144.34,457.05,742.46,2475.14,2091.29
US_312,145.84,1324.61,300.22,409.93,2467.61
646_114,146.18,987.76,2206.09,3824.06,1684.78
US_380,146.47,125.64,567.57,4342.61,1999.68
US_482,146.52,717.29,1941.77,3578.01,762.2
US_55,146.7,208.28,913.23,388.77,2445.64
US_323,147.23,800.99,258.8,158.5,2061.92
US_293,147.26,696.22,487.76,319.99,1547.37
US_302,148.22,656.31,767.81,1481.67,1943.52
646_45,148.57,224.86,561.06,389.77,1854.17
US_305,149.67,961.32,459.66,228.38,4595.86
646_66,150.33,616.97,55144.63,12691.31,2159.0
US_361,150.4,707.61,622.98,3652.56,3297.58
US_114,151.09,83.43,1791.55,1162.43,4375.0
US_304,151.2,1391.09,231.04,307.83,17.21
US_420,152.27,911.18,1003.17,476.66,4610.54
